"goal_id","player_id","is_plus"
"1","71","1"
"1","76","1"
"1","126","1"
"3","76","1"
"3","125","1"
"4","68","1"
"4","69","1"
"4","76","1"
"5","7","1"
"5","11","1"
"5","18","1"
"6","69","1"
"6","75","1"
"6","131","1"
"7","66","1"
"7","89","1"
"8","5","1"
"8","15","1"
"9","60","1"
"9","142","1"
"10","21","1"
"10","103","1"
"10","119","1"
"11","60","1"
"11","142","1"
"12","138","1"
"12","143","1"
"13","105","1"
"13","114","1"
"14","114","1"
"15","23","1"
"15","78","1"
"16","92","1"
"16","114","1"
"16","116","1"
"17","78","1"
"17","79","1"
"18","54","1"
"18","57","1"
"19","103","1"
"20","78","1"
"20","79","1"
"22","34","1"
"22","36","1"
"22","37","1"
"23","36","1"
"23","37","1"
"24","35","1"
"24","46","1"
"24","86","1"
"25","31","0"
"25","34","1"
"25","36","1"
"25","44","1"
"25","82","0"
"25","98","0"
"27","25","0"
"27","65","1"
"27","66","1"
"27","67","1"
"27","72","1"
"27","97","0"
"27","102","0"
"27","118","0"
"27","120","0"
"27","129","1"
"28","21","0"
"28","25","0"
"28","67","1"
"28","71","1"
"28","75","1"
"28","79","0"
"28","89","1"
"28","103","0"
"28","120","0"
"28","125","1"
"29","68","1"
"29","72","1"
"29","73","1"
"30","21","1"
"30","25","1"
"30","79","1"
"30","103","1"
"30","118","1"
"31","24","1"
"31","65","0"
"31","72","0"
"31","73","0"
"31","97","1"
"31","105","1"
"31","114","1"
"31","120","1"
"31","130","0"
"31","133","0"
"32","21","1"
"32","24","1"
"32","25","1"
"32","65","0"
"32","67","0"
"32","68","0"
"32","103","1"
"32","104","1"
"33","21","1"
"33","24","1"
"33","25","1"
"33","67","0"
"33","68","0"
"33","75","0"
"33","76","0"
"33","103","1"
"33","119","1"
"33","125","0"
"34","23","1"
"34","65","0"
"34","67","0"
"34","71","0"
"34","72","0"
"34","73","0"
"34","79","1"
"34","104","1"
"34","114","1"
"34","119","1"
"35","21","0"
"35","23","0"
"35","67","1"
"35","71","1"
"35","75","1"
"35","76","1"
"35","104","0"
"35","114","0"
"35","119","0"
"35","125","1"
"36","5","0"
"36","9","0"
"36","12","0"
"36","13","0"
"36","14","0"
"36","30","1"
"36","32","1"
"36","80","1"
"36","159","1"
"36","165","1"
"38","10","0"
"38","12","0"
"38","14","0"
"38","17","0"
"38","26","1"
"38","30","1"
"38","31","1"
"38","82","1"
"38","106","0"
"38","163","1"
"39","1","1"
"39","12","1"
"39","30","0"
"39","32","0"
"39","80","0"
"39","109","1"
"39","162","0"
"39","163","0"
"40","10","0"
"40","12","0"
"40","14","0"
"40","17","0"
"40","27","1"
"40","30","1"
"40","80","1"
"40","111","0"
"40","163","1"
"40","164","1"
"41","38","0"
"41","39","0"
"41","45","0"
"41","49","1"
"41","53","1"
"41","57","1"
"41","62","1"
"41","144","1"
"41","147","0"
"41","150","0"
"42","34","1"
"42","36","1"
"42","42","1"
"42","44","1"
"42","51","0"
"42","55","0"
"42","61","0"
"42","87","1"
"42","144","0"
"43","164","1"
"44","23","1"
"44","103","1"
"44","105","1"
"45","23","1"
"45","103","1"
"45","105","1"
"46","90","1"
"46","104","1"
"46","114","1"
"47","31","1"
"47","157","1"
"48","97","1"
"49","31","1"
"49","161","1"
"49","163","1"
"50","34","0"
"50","40","0"
"50","65","1"
"50","66","1"
"50","67","1"
"50","74","1"
"50","125","1"
"50","149","0"
"50","151","0"
"51","35","0"
"51","37","0"
"51","38","0"
"51","72","1"
"51","74","1"
"51","86","0"
"51","101","1"
"51","126","1"
"51","132","1"
"51","151","0"
"52","39","1"
"52","44","1"
"52","45","1"
"52","67","0"
"52","72","0"
"52","87","1"
"52","101","0"
"52","126","0"
"52","132","0"
"52","147","1"
"53","36","1"
"53","38","1"
"53","42","1"
"53","67","0"
"53","68","0"
"53","73","0"
"53","75","0"
"53","76","0"
"53","86","1"
"53","131","0"
"53","151","1"
"54","65","1"
"54","67","1"
"54","71","1"
"55","44","1"
"55","86","1"
"56","34","0"
"56","40","0"
"56","44","0"
"56","67","1"
"56","71","1"
"56","72","1"
"56","87","0"
"56","101","1"
"56","126","1"
"57","35","1"
"57","37","1"
"57","38","1"
"57","65","0"
"57","66","0"
"57","68","0"
"57","86","1"
"57","125","0"
"57","129","0"
"57","153","1"
"58","36","1"
"58","42","1"
"58","65","0"
"58","73","0"
"58","75","0"
"58","86","1"
"58","87","1"
"58","131","0"
"59","34","1"
"59","37","1"
"59","71","0"
"59","75","0"
"59","76","0"
"59","87","1"
"60","2","1"
"60","8","1"
"60","15","1"
"60","51","0"
"60","60","0"
