"player_id","season","salary"
"1","20252026","54000"
"2","20252026","53500"
"4","20252026","52000"
"5","20252026","63000"
"6","20252026","92500"
"8","20252026","37131.5"
"9","20252026","50000"
"11","20252026","85000"
"12","20252026","105000"
"13","20252026","106090"
"15","20252026","95000"
"16","20252026","84872"
"17","20252026","65000"
"18","20252026","48000"
"20","20252026","100786"
"21","20252026","90707"
"22","20252026","86463.4"
"23","20252026","84872"
"24","20252026","90176.5"
"25","20252026","84872"
"26","20252026","47500"
"28","20252026","90000"
"30","20252026","86872"
"31","20252026","110216"
"32","20252026","78000"
"34","20252026","90000"
"35","20252026","47000"
"36","20252026","85872"
"37","20252026","37131.5"
"38","20252026","72500"
"39","20252026","37132"
"40","20252026","44500"
"41","20252026","41000"
"42","20252026","116699"
"44","20252026","79321.2"
"45","20252026","40000"
"47","20252026","94000"
"48","20252026","37132"
"49","20252026","50000"
"50","20252026","84872"
"51","20252026","40000"
"52","20252026","60000"
"53","20252026","126090"
"54","20252026","37131.5"
"56","20252026","88585.1"
"57","20252026","105000"
"58","20252026","122003"
"59","20252026","90000"
"60","20252026","65000"
"61","20252026","62500"
"62","20252026","60000"
"63","20252026","59000"
"64","20252026","69872"
"65","20252026","75000"
"66","20252026","47500"
"67","20252026","106090"
"68","20252026","70000"
"71","20252026","86993.8"
"72","20252026","60000"
"73","20252026","84872"
"74","20252026","46000"
"75","20252026","85000"
"76","20252026","92298.3"
"78","20252026","90000"
"79","20252026","55000"
"83","20252026","84872"
"84","20252026","68000"
"85","20252026","45000"
"86","20252026","43000"
"87","20252026","90000"
"88","20252026","55000"
"89","20252026","86000"
"90","20252026","60000"
"97","20252026","50000"
"98","20252026","84872"
"99","20252026","53000"
"100","20252026","75000"
"101","20252026","38000"
"102","20252026","40000"
"104","20252026","51000"
"114","20252026","47000"
"115","20252026","78000"
"116","20252026","37131.5"
"118","20252026","42000"
"123","20252026","72500"
"128","20252026","40000"
"129","20252026","58000"
"132","20252026","37200"
"134","20252026","45000"
"138","20252026","65000"
"142","20252026","42000"
"147","20252026","40000"
"149","20252026","65000"
"155","20252026","60000"
"156","20252026","37131.5"
"157","20252026","41350"
"161","20252026","90000"
"162","20252026","37290.2"
"166","20252026","39000"
"167","20252026","55000"
"169","20252026","82500"
"180","20252026","40000"
"181","20252026","70000"
"182","20252026","40000"
"183","20252026","50000"
"185","20252026","52000"
"188","20252026","40500"
"189","20252026","51000"
"190","20252026","45000"
"191","20252026","42000"
"192","20252026","42500"
"195","20252026","57000"
"196","20252026","70000"
"198","20252026","50000"
"199","20252026","37132"
"200","20252026","37200"
"201","20252026","57500"
"203","20252026","60000"
"204","20252026","41000"
"205","20252026","125000"
"206","20252026","43500"
"207","20252026","41000"
"208","20252026","45000"
"209","20252026","41271"
"210","20252026","53000"
"211","20252026","37200"
"212","20252026","45000"
"217","20252026","45000"
"219","20252026","40000"
"220","20252026","40000"
"221","20252026","43000"
"222","20252026","91200"
"223","20252026","55751.7"
"224","20252026","67500"
"227","20252026","42000"
"228","20252026","39000"
"229","20252026","54000"
"230","20252026","72500"
"232","20252026","41000"
"236","20252026","58000"
"237","20252026","58000"
"238","20252026","38000"
"239","20252026","43500"
"240","20252026","38000"
"241","20252026","40000"
"242","20252026","50000"
"243","20252026","45000"
"244","20252026","44000"
"245","20252026","90500"
"246","20252026","60000"
"247","20252026","47000"
"248","20252026","45000"
"249","20252026","52000"
"250","20252026","54000"
"251","20252026","39000"
"252","20252026","52000"
"253","20252026","50000"
"254","20252026","37131.5"
"255","20252026","40000"
"256","20252026","40000"
"259","20252026","40000"
"262","20252026","38666.5"
"263","20252026","37290.2"
"264","20252026","37290.2"
"269","20252026","37291.4"
"270","20252026","37132"
"271","20252026","37131.5"
"272","20252026","40000"
"274","20252026","42500"
"277","20252026","38000"
"278","20252026","37666.5"
"280","20252026","51000"
"282","20252026","38000"
"283","20252026","37131.5"
"285","20252026","39500"
"286","20252026","38000"
"288","20252026","37131.5"
"289","20252026","38000"
"290","20252026","38000"
"291","20252026","40000"
"292","20252026","37131.5"
"293","20252026","37131.5"
"294","20252026","39000"
"296","20252026","37131.5"
"301","20252026","37131.5"
"305","20252026","41500"
"309","20252026","37131.5"
"310","20252026","37131.5"
"311","20252026","37131.5"
"313","20252026","37200"
"314","20252026","37200"
"316","20252026","40000"
"317","20252026","44000"
"320","20252026","37131.5"
