"id","start_date","end_date","team_id","jersey_number","position"
"70","2023-11-01","2024-06-01","6","37","G"
"71","2023-11-01","2024-06-01","6","3","D"
"71","2024-11-01","2025-06-01","5","23","D"
"72","2023-11-01","2024-06-01","6","19","F"
"72","2024-11-01","2025-06-01","5","37","F"
"73","2023-11-01","2024-06-01","6","27","F"
"73","2024-11-01","2025-06-01","6","27","F"
"74","2023-11-01","2024-06-01","6","12","D"
"74","2024-11-01","2025-06-01","6","12","D"
"75","2023-11-01","2024-06-01","6","20","F"
"75","2024-11-01","2025-06-01","6","20","F"
"76","2023-11-01","2024-06-01","6","40","F"
"76","2024-11-01","2025-06-01","6","40","F"
"78","2023-11-01","2024-06-01","1","88","F"
"78","2024-11-01","2025-06-01","1","77","F"
"79","2023-11-01","2024-06-01","2","19","D"
"79","2024-11-01","2025-06-01","2","19","D"
"80","2023-11-01","2024-06-01","3","24","F"
"81","2023-11-01","2024-06-01","3","26","F"
"81","2024-11-01","2025-06-01","3","16","F"
"82","2023-11-01","2024-06-01","3","96","D"
"82","2024-11-01","2025-06-01","3","96","D"
"83","2023-11-01","2024-06-01","3","23","D"
"83","2024-11-01","2025-06-01","3","23","D"
"84","2023-11-01","2024-06-01","3","9","D"
"84","2024-11-01","2025-06-01","3","9","D"
"85","2023-11-01","2024-06-01","3","20","G"
"85","2024-11-01","2025-06-01","3","20","G"
"86","2023-11-01","2024-06-01","4","67","F"
"86","2024-11-01","2025-06-01","6","67","F"
"87","2023-11-01","2024-06-01","4","14","D"
"87","2024-11-01","2025-06-01","4","14","D"
"88","2023-11-01","2024-06-01","5","16","F"
"88","2024-11-01","2025-06-01","5","16","F"
"89","2023-11-01","2024-06-01","6","34","F"
"89","2024-11-01","2025-06-01","6","34","F"
"90","2023-11-01","2024-06-01","2","22","D"
"90","2024-11-01","2025-06-01","2","22","D"
"91","2023-11-01","2024-06-01","2","17","F"
"91","2024-11-01","2025-06-01","2","17","F"
"92","2023-11-01","2024-06-01","2","10","F"
"92","2024-11-01","2025-06-01","2","10","F"
"97","2023-11-01","2024-06-01","2","21","F"
"97","2024-11-01","2025-06-01","2","21","F"
"98","2023-11-01","2024-06-01","3","15","F"
"98","2024-11-01","2025-06-01","3","21","F"
"99","2023-11-01","2024-06-01","3","2","D"
"99","2024-11-01","2025-06-01","3","2","D"
"100","2023-11-01","2024-06-01","6","24","F"
"100","2024-11-01","2025-06-01","6","24","F"
"101","2023-11-01","2024-06-01","6","10","F"
"101","2024-11-01","2025-06-01","5","10","F"
"102","2023-11-01","2024-06-01","2","7","F"
"102","2024-11-01","2025-06-01","2","7","F"
