"goal_id","player_id","primary_secondary"
"184","1","1"
"308","1","2"
"359","1","1"
"403","1","2"
"405","1","2"
"435","1","1"
"527","1","2"
"639","1","1"
"668","1","1"
"672","1","2"
"727","1","1"
"742","1","1"
"779","1","2"
"854","1","2"
"1098","1","2"
"1484","1","1"
"1531","1","2"
"60","2","2"
"130","2","2"
"135","2","2"
"334","2","2"
"444","2","1"
"447","2","1"
"527","2","1"
"792","2","2"
"854","2","1"
"1065","2","2"
"1296","2","2"
"1581","2","2"
"1606","2","2"
"160","4","1"
"736","4","1"
"738","4","1"
"739","4","1"
"853","4","2"
"877","4","1"
"905","4","1"
"919","4","1"
"920","4","2"
"942","4","1"
"1263","4","1"
"1345","4","2"
"1476","4","1"
"1499","4","2"
"159","5","2"
"313","5","2"
"409","5","1"
"638","5","1"
"681","5","2"
"767","5","2"
"931","5","2"
"1153","5","2"
"1499","5","1"
"1674","5","1"
"220","7","2"
"62","8","2"
"128","8","2"
"162","8","1"
"211","8","2"
"926","8","2"
"1402","8","2"
"193","9","2"
"282","9","1"
"710","9","2"
"887","9","2"
"1197","9","1"
"217","10","2"
"343","10","1"
"5","11","1"
"197","11","2"
"264","11","2"
"299","11","1"
"303","11","1"
"330","11","1"
"339","11","2"
"340","11","1"
"341","11","2"
"437","11","2"
"438","11","2"
"442","11","2"
"467","11","2"
"513","11","2"
"529","11","2"
"540","11","2"
"647","11","1"
"661","11","1"
"684","11","1"
"685","11","1"
"721","11","1"
"753","11","1"
"754","11","2"
"771","11","1"
"829","11","1"
"843","11","1"
"859","11","1"
"953","11","2"
"973","11","1"
"983","11","2"
"997","11","1"
"998","11","2"
"1010","11","2"
"1116","11","2"
"1118","11","1"
"1306","11","1"
"1398","11","2"
"1482","11","1"
"1507","11","1"
"1512","11","1"
"1577","11","1"
"1584","11","2"
"1585","11","2"
"1592","11","2"
"1617","11","1"
"147","12","1"
"167","12","1"
"191","12","2"
"193","12","1"
"211","12","1"
"213","12","1"
"220","12","1"
"308","12","1"
"336","12","2"
"352","12","2"
"374","12","1"
"423","12","2"
"435","12","2"
"444","12","2"
"447","12","2"
"502","12","1"
"587","12","1"
"599","12","2"
"608","12","1"
"620","12","1"
"621","12","1"
"708","12","1"
"924","12","1"
"1098","12","1"
"1127","12","1"
"1135","12","2"
"1144","12","2"
"1182","12","1"
"1266","12","2"
"1360","12","1"
"1419","12","2"
"1423","12","1"
"1451","12","1"
"1460","12","1"
"1566","12","1"
"1596","12","2"
"62","13","1"
"162","13","2"
"213","13","2"
"334","13","1"
"375","13","1"
"405","13","1"
"546","13","1"
"554","13","1"
"611","13","2"
"627","13","1"
"683","13","2"
"708","13","2"
"726","13","1"
"765","13","1"
"794","13","1"
"816","13","1"
"852","13","1"
"856","13","1"
"866","13","1"
"932","13","2"
"1063","13","1"
"1109","13","1"
"1137","13","1"
"1139","13","1"
"1179","13","1"
"1193","13","2"
"1244","13","1"
"1523","13","1"
"1576","13","2"
"160","14","2"
"354","14","1"
"8","15","1"
"60","15","1"
"63","15","1"
"77","15","1"
"126","15","1"
"128","15","1"
"130","15","1"
"135","15","1"
"153","15","2"
"167","15","2"
"217","15","1"
"259","15","1"
"291","15","2"
"342","15","1"
"436","15","1"
"638","15","2"
"669","15","1"
"670","15","1"
"681","15","1"
"729","15","2"
"758","15","1"
"767","15","1"
"794","15","2"
"818","15","1"
"821","15","1"
"891","15","1"
"899","15","2"
"1073","15","1"
"1125","15","1"
"1166","15","1"
"1168","15","1"
"1267","15","2"
"1280","15","2"
"1325","15","1"
"1357","15","1"
"1400","15","2"
"1402","15","1"
"1421","15","2"
"1422","15","1"
"1472","15","1"
"1527","15","2"
"1529","15","1"
"1554","15","1"
"1555","15","1"
"1626","15","2"
"1638","15","2"
"1654","15","1"
"75","16","1"
"109","16","2"
"111","16","2"
"159","16","1"
"237","16","2"
"287","16","1"
"292","16","1"
"313","16","1"
"456","16","2"
"727","16","2"
"742","16","2"
"779","16","1"
"923","16","1"
"926","16","1"
"931","16","1"
"1057","16","2"
"1072","16","1"
"1097","16","1"
"1128","16","2"
"1135","16","1"
"1397","16","2"
"1455","16","2"
"1473","16","2"
"1488","16","2"
"109","17","1"
"191","17","1"
"404","17","1"
"423","17","1"
"436","17","2"
"459","17","1"
"544","17","1"
"728","17","1"
"1106","17","2"
"1230","17","1"
"1251","17","2"
"1331","17","1"
"1447","17","1"
"1464","17","1"
"1469","17","1"
"1581","17","1"
"1602","17","1"
"1605","17","1"
"1623","17","1"
"75","18","2"
"148","18","1"
"422","18","1"
"552","18","2"
"729","18","1"
"756","18","2"
"765","18","2"
"820","18","2"
"1072","18","2"
"1128","18","1"
"1229","18","1"
"1455","18","1"
"1470","18","2"
"1531","18","1"
"168","20","1"
"196","20","1"
"240","20","2"
"242","20","1"
"265","20","2"
"299","20","2"
"306","20","2"
"330","20","2"
"340","20","2"
"373","20","1"
"440","20","2"
"442","20","1"
"448","20","2"
"542","20","2"
"543","20","1"
"564","20","1"
"612","20","1"
"629","20","2"
"656","20","1"
"679","20","2"
"682","20","2"
"720","20","2"
"733","20","2"
"830","20","1"
"907","20","1"
"980","20","2"
"983","20","1"
"1085","20","1"
"1201","20","1"
"1235","20","1"
"1254","20","1"
"1271","20","2"
"1300","20","1"
"1485","20","1"
"1486","20","2"
"1513","20","2"
"1517","20","2"
"1601","20","1"
"1641","20","1"
"99","21","1"
"125","21","1"
"163","21","2"
"265","21","1"
"298","21","1"
"306","21","1"
"307","21","2"
"341","21","1"
"391","21","2"
"443","21","1"
"457","21","1"
"461","21","2"
"526","21","1"
"537","21","1"
"541","21","1"
"565","21","2"
"567","21","1"
"588","21","2"
"642","21","1"
"663","21","2"
"689","21","2"
"691","21","1"
"733","21","1"
"740","21","1"
"844","21","1"
"947","21","2"
"968","21","2"
"972","21","1"
"980","21","1"
"988","21","2"
"989","21","2"
"994","21","1"
"1024","21","1"
"1025","21","1"
"1141","21","1"
"1146","21","2"
"1199","21","2"
"1200","21","1"
"1201","21","2"
"1237","21","1"
"1253","21","2"
"1261","21","1"
"1269","21","1"
"1273","21","1"
"1300","21","2"
"1338","21","1"
"1343","21","2"
"1384","21","1"
"1395","21","1"
"1516","21","2"
"1557","21","1"
"1627","21","2"
"1628","21","1"
"170","22","2"
"34","23","1"
"83","23","2"
"85","23","2"
"127","23","1"
"168","23","2"
"170","23","1"
"172","23","1"
"197","23","1"
"240","23","1"
"271","23","2"
"300","23","2"
"398","23","2"
"401","23","1"
"438","23","1"
"455","23","2"
"468","23","1"
"512","23","1"
"542","23","1"
"576","23","1"
"629","23","1"
"661","23","2"
"754","23","1"
"909","23","1"
"943","23","1"
"967","23","1"
"973","23","2"
"984","23","2"
"1058","23","1"
"1099","23","1"
"1103","23","1"
"1162","23","1"
"1164","23","2"
"1220","23","1"
"1256","23","2"
"1407","23","2"
"1426","23","1"
"1454","23","2"
"1485","23","2"
"1494","23","2"
"1508","23","1"
"1509","23","2"
"1545","23","2"
"1601","23","2"
"1604","23","2"
"1633","23","2"
"1635","23","1"
"1649","23","2"
"33","24","1"
"85","24","1"
"89","24","1"
"125","24","2"
"163","24","1"
"166","24","1"
"303","24","2"
"430","24","2"
"440","24","1"
"441","24","2"
"607","24","1"
"644","24","2"
"753","24","2"
"771","24","2"
"840","24","2"
"910","24","2"
"959","24","2"
"968","24","1"
"989","24","1"
"1006","24","2"
"1100","24","2"
"1142","24","1"
"1237","24","2"
"1384","24","2"
"1433","24","2"
"1491","24","2"
"1509","24","1"
