"id","start_date","end_date","team_id","jersey_number","position"
"209","2025-11-01","2026-06-01","9","8","F"
"210","2025-11-01","2026-06-01","8","88","F"
"211","2025-11-01","2026-06-01","6","1","G"
"212","2025-11-01","2026-06-01","1","25","F"
"213","2025-11-01","2026-06-01","6","13","F"
"214","2025-11-01","2026-06-01","1","61","F"
"217","2025-11-01","2026-06-01","5","22","F"
"219","2025-11-01","2026-06-01","5","6","D"
"220","2026-01-18","2026-06-01","9","19","F"
"221","2026-01-18","2026-06-01","9","94","F"
"222","2025-11-01","2026-06-01","5","33","G"
"223","2025-11-01","2026-06-01","5","88","D"
"224","2025-11-01","2026-06-01","8","92","F"
"227","2025-11-01","2026-06-01","9","15","F"
"228","2025-11-01","2026-06-01","4","82","G"
"229","2025-11-01","2026-06-01","4","8","D"
"230","2025-11-01","2026-06-01","4","20","D"
"232","2025-11-01","2026-06-01","1","53","D"
"233","2025-11-01","2026-06-01","5","42","D"
"236","2025-11-01","2026-06-01","2","4","D"
"237","2025-11-01","2026-06-01","8","10","F"
"238","2025-11-01","2026-06-01","5","1","G"
"239","2026-01-18","2026-06-01","9","97","F"
"240","2025-11-01","2026-06-01","5","71","F"
"241","2025-11-01","2026-06-01","5","23","F"
"242","2025-11-01","2026-06-01","5","5","D"
"243","2025-11-01","2026-06-01","1","26","F"
"244","2025-11-01","2026-06-01","6","20","F"
"245","2025-11-01","2026-06-01","4","98","F"
"246","2025-11-01","2026-06-01","1","8","D"
"247","2025-11-01","2026-06-01","2","74","F"
"248","2025-11-01","2026-06-01","9","51","F"
"249","2025-11-01","2026-06-01","4","24","F"
"250","2025-11-01","2026-06-01","8","83","G"
"251","2025-11-01","2026-06-01","4","2","D"
"252","2025-11-01","2026-06-01","9","33","F"
"253","2025-11-01","2026-06-01","3","61","D"
"254","2025-11-01","2026-06-01","1","7","D"
"255","2025-11-01","2026-06-01","1","16","D"
"256","2025-11-01","2026-06-01","1","15","F"
"259","2025-11-01","2026-06-01","1","19","F"
"260","2025-11-01","2026-06-01","5","32","G"
"262","2025-11-01","2026-06-01","1","30","G"
"263","2025-11-01","2026-06-01","2","91","F"
"264","2025-11-01","2026-06-01","2","15","D"
"267","2025-11-01","2026-06-01","2","17","D"
"269","2025-11-01","2026-06-01","2","24","F"
"270","2025-11-01","2026-06-01","3","1","G"
"271","2025-11-01","2026-06-01","3","12","D"
"272","2025-11-01","2026-06-01","3","88","F"
"273","2025-11-01","2026-06-01","3","4","F"
"274","2025-11-01","2026-06-01","3","96","F"
"276","2025-11-01","2026-06-01","3","15","F"
"277","2025-11-01","2026-06-01","4","22","F"
"278","2025-11-01","2026-06-01","4","39","G"
"279","2025-11-01","2026-06-01","4","55","F"
"280","2025-11-01","2026-06-01","4","26","F"
"282","2025-11-01","2026-06-01","4","37","G"
"283","2025-11-01","2026-06-01","4","11","D"
"285","2025-11-01","2026-06-01","4","18","F"
"286","2025-11-01","2026-06-01","5","29","F"
"288","2025-11-01","2026-06-01","5","9","D"
"289","2025-11-01","2026-06-01","5","8","D"
"290","2025-11-01","2026-06-01","5","70","G"
"291","2025-11-01","2026-06-01","8","7","F"
"292","2025-11-01","2026-06-01","8","52","F"
"293","2025-11-01","2026-06-01","8","71","F"
"294","2025-11-01","2026-06-01","8","24","D"
"295","2025-11-01","2026-06-01","8","66","F"
"296","2025-11-01","2026-06-01","5","14","F"
"298","2025-11-01","2026-06-01","8","6","D"
"300","2025-11-01","2026-06-01","9","17","F"
"301","2025-11-01","2026-06-01","9","9","F"
"305","2025-11-01","2026-06-01","9","28","D"
"306","2025-11-01","2026-06-01","9","72","F"
"309","2025-11-01","2026-06-01","9","35","G"
"310","2025-11-01","2026-06-01","9","7","D"
"311","2025-11-01","2026-06-01","6","10","D"
"313","2025-11-01","2026-06-01","6","19","F"
"314","2025-11-01","2026-06-01","6","91","G"
"315","2025-11-01","2026-06-01","6","16","F"
"316","2025-11-01","2026-06-01","6","25","F"
"317","2025-11-01","2026-06-01","6","11","F"
"318","2025-11-01","2026-06-01","5","15","F"
"319","2025-11-01","2026-06-01","5","94","F"
"320","2025-11-01","2026-06-01","3","93","D"
"321","2025-11-01","2026-06-01","9","2","D"
