"name","name","shooter_id","goalie_id","game_id","period","time","is_goal","x_location","y_location","type","quality"
"Hannah Brandt","Boston Fleet","1","155","56","3","00:10:40","0","559","133","Wrist","Quality on net"
"Hannah Brandt","Boston Fleet","1","155","56","3","00:14:45","0","537","112","Wrist","Quality on net"
"Hannah Brandt","Boston Fleet","1","155","56","3","00:18:52","0","556","76","Wrist","Non quality on net"
"Hannah Brandt","Boston Fleet","1","64","57","2","00:16:07","0","213","253","Default","Non quality on net"
"Hannah Brandt","Boston Fleet","1","28","64","1","00:19:05","0","57","195","Default","Non quality on net"
"Hannah Brandt","Boston Fleet","1","28","64","2","00:11:29","0","45","47","Default","Non quality on net"
"Hannah Brandt","Boston Fleet","1","28","64","3","00:16:00","0","62","201","Default","Non quality on net"
"Hannah Brandt","Boston Fleet","1","155","68","2","00:13:39","0","507","119","Default","Quality on net"
"Hannah Brandt","Boston Fleet","1","59","69","1","00:18:06","0","463","205","Snap","Quality on net"
"Hannah Brandt","Boston Fleet","1","22","70","1","00:19:42","0","525","286","Wrist","Non quality on net"
"Hannah Brandt","Boston Fleet","1","22","70","2","00:07:11","0","485","90","Tip","Quality on net"
"Hannah Brandt","Boston Fleet","1","22","70","3","00:19:57","1","547","160","Default","Quality goal"
"Hannah Brandt","Boston Fleet","1","59","83","1","00:03:58","0","123","209","Default","Quality on net"
"Hannah Brandt","Boston Fleet","1","59","83","3","00:15:14","0","52","196","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","155","16","3","00:00:43","0","174","243","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","123","23","1","00:06:05","0","521","170","Default","Quality on net"
"Emily Brown","Boston Fleet","2","123","23","2","00:19:48","0","167","213","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","85","27","3","00:13:15","0","171","107","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","155","32","3","00:01:28","0","128","211","Default","Quality on net"
"Emily Brown","Boston Fleet","2","155","32","3","00:04:35","0","77","212","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","59","34","2","00:16:27","0","176","197","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","41","48","4","00:01:00","0","116","233","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","70","52","2","00:00:58","0","435","85","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","64","57","2","00:14:28","1","142","132","Default","Quality goal"
"Emily Brown","Boston Fleet","2","28","64","1","00:00:16","0","212","265","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","28","64","1","00:00:17","0","186","201","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","28","64","2","00:19:39","0","199","124","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","59","65","2","00:09:18","0","212","268","Snap","Non quality on net"
"Emily Brown","Boston Fleet","2","155","68","2","00:06:03","0","510","163","Default","Quality on net"
"Emily Brown","Boston Fleet","2","155","68","2","00:18:52","0","398","50","Default","Non quality on net"
"Emily Brown","Boston Fleet","2","155","68","3","00:00:15","0","388","43","Default","Non quality on net"
