"id","date","home_team_id","visiting_team_id","season","venue","attendance","start_time","end_time","duration"
"44","2024-03-05","2","5","1","5","4585","08:08:00","10:39:00","02:31:00"
"45","2024-03-06","6","1","1","1","2479","07:08:00","09:30:00","02:22:00"
"46","2024-03-06","4","3","1","4","728","07:08:00","09:38:00","02:30:00"
"47","2024-03-08","6","3","1","1","2554","07:08:00","09:37:00","02:29:00"
"48","2024-03-10","1","4","1","3","4607","02:07:00","04:27:00","02:20:00"
"49","2024-03-10","3","5","1","8","10172","03:09:00","05:33:00","02:24:00"
"50","2024-03-13","2","1","1","5","4669","07:08:00","09:28:00","02:20:00"
"51","2024-03-16","2","4","1","5","9006","02:36:00","04:54:00","02:18:00"
"52","2024-03-20","6","1","1","1","2525","06:08:00","08:30:00","02:22:00"
"53","2024-03-20","4","5","1","4","1702","06:08:00","08:32:00","02:24:00"
"54","2024-03-23","5","6","1","2","8448","00:09:00","02:34:00","02:25:00"
"55","2024-03-24","2","3","1","5","7268","03:08:00","05:43:00","02:35:00"
"56","2024-03-25","4","1","1","6","2834","06:08:00","08:32:00","02:24:00"
"57","2024-04-18","1","6","1","3","4084","06:08:00","08:26:00","02:18:00"
"58","2024-04-18","3","2","1","7","3084","06:08:00","08:31:00","02:23:00"
"59","2024-04-20","5","2","1","2","8110","06:06:00","08:26:00","02:20:00"
"60","2024-04-24","3","4","1","7","3232","06:09:00","08:35:00","02:26:00"
"61","2024-04-28","4","6","1","6","1668","00:08:00","02:36:00","02:28:00"
"62","2024-04-27","5","3","1","2","8452","23:36:00","01:59:00","02:23:00"
"63","2024-05-01","6","2","1","1","2571","06:09:00","08:31:00","02:22:00"
"64","2024-05-04","1","3","1","3","5964","02:38:00","05:09:00","02:31:00"
"65","2024-03-16","1","5","1","11","13736","05:10:00","07:50:00","02:40:00"
"66","2024-03-17","3","6","1","12","8850","23:38:00","01:52:00","02:14:00"
"67","2024-04-20","3","6","1","13","21105","00:11:00","02:45:00","02:34:00"
"68","2024-04-20","4","1","1","14","5132","02:40:00","05:06:00","02:26:00"
"69","2024-04-24","5","1","1","2","7686","06:08:00","08:34:00","02:26:00"
"70","2024-04-27","2","1","1","5","9977","01:08:00","03:28:00","02:20:00"
"71","2024-04-30","4","5","1","14","2992","06:10:00","08:34:00","02:24:00"
"72","2024-05-05","6","5","1","1","2620","06:07:00","08:44:00","02:37:00"
"73","2024-05-04","4","2","1","6","1563","00:08:00","02:36:00","02:28:00"
"74","2023-12-04","1","6","2","16","0","01:00:00","03:20:00","02:20:00"
"75","2023-12-04","2","5","2","16","0","04:15:00","06:49:00","02:34:00"
"76","2023-12-04","4","3","2","16","0","07:30:00","09:52:00","02:22:00"
"77","2023-12-05","6","2","2","16","0","00:00:00","02:34:00","02:34:00"
"78","2023-12-05","3","1","2","16","0","03:22:00","05:57:00","02:35:00"
"79","2023-12-05","5","4","2","16","0","07:40:00","10:12:00","02:32:00"
"80","2023-12-07","2","3","2","16","0","09:00:00","10:58:00","01:58:00"
"81","2023-12-07","6","4","2","16","0","00:15:00","02:34:00","02:19:00"
"82","2023-12-07","1","5","2","16","0","03:30:00","05:45:00","02:15:00"
"83","2024-02-19","1","5","1","3","2849","04:39:00","07:06:00","02:27:00"
"84","2024-05-08","6","2","3","15","8473","06:08:00","08:22:00","02:14:00"
"85","2024-05-09","3","1","3","8","9135","06:09:00","09:18:00","03:09:00"
"86","2024-05-10","6","2","3","15","8581","06:08:00","08:28:00","02:20:00"
"87","2024-05-11","3","1","3","8","10172","06:09:00","10:56:00","04:47:00"
"88","2024-05-13","2","6","3","5","3344","06:08:00","08:26:00","02:18:00"
"89","2024-05-14","1","3","3","3","2781","06:09:00","08:48:00","02:39:00"
"90","2024-05-15","2","6","3","5","2766","06:08:00","09:26:00","03:18:00"
"92","2024-05-17","6","2","3","15","8501","06:09:00","08:26:00","02:17:00"
"94","2024-05-19","1","2","3","3","4508","04:14:00","06:35:00","02:21:00"
"95","2024-05-21","1","2","3","3","4543","06:14:00","08:41:00","02:27:00"
"96","2024-05-24","2","1","3","5","9054","06:15:00","08:35:00","02:20:00"
"97","2024-05-26","2","1","3","5","13104","05:15:00","09:11:00","03:56:00"
"98","2024-05-29","1","2","3","3","6309","06:15:00","08:40:00","02:25:00"
"99","2024-11-20","1","3","4","7","0","02:01:00","04:18:00","02:17:00"
"100","2024-11-20","2","6","4","17","0","00:00:00","00:00:00","00:00:00"
"101","2024-11-21","5","1","4","7","0","02:00:00","04:10:00","02:10:00"
"102","2024-11-21","4","2","4","17","0","00:00:00","00:00:00","00:00:00"
"103","2024-11-22","3","5","4","7","0","02:00:00","04:10:00","02:10:00"
"104","2024-11-22","6","4","4","17","0","00:00:00","00:00:00","00:00:00"
"105","2024-11-30","6","1","5","15","8089","02:15:00","04:40:00","02:25:00"
"106","2024-11-30","3","5","5","8","10033","05:18:00","07:47:00","02:29:00"
"107","2024-12-01","2","4","5","5","8022","06:16:00","08:42:00","02:26:00"
"108","2024-12-03","5","6","5","2","6451","07:15:00","09:40:00","02:25:00"
"109","2024-12-04","1","2","5","3","3811","07:16:00","09:35:00","02:19:00"
"110","2024-12-04","3","4","5","8","5415","07:10:00","09:35:00","02:25:00"
"111","2024-12-07","6","2","5","15","7584","02:12:00","04:28:00","02:16:00"
"112","2024-12-08","1","4","5","3","4003","04:07:00","06:45:00","02:38:00"
"113","2024-12-17","1","5","5","3","2854","07:07:00","09:24:00","02:17:00"
"114","2024-12-18","4","6","5","14","2851","07:13:00","09:38:00","02:25:00"
"115","2024-12-19","2","5","5","5","4686","08:07:00","10:37:00","02:30:00"
"116","2024-12-21","6","3","5","15","8251","02:12:00","04:44:00","02:32:00"
"117","2024-12-22","4","2","5","14","2722","00:07:00","02:45:00","02:38:00"
"118","2024-12-27","6","1","5","15","8264","07:08:00","09:35:00","02:27:00"
"119","2024-12-28","2","3","5","5","8726","02:12:00","04:34:00","02:22:00"
"120","2024-12-29","4","5","5","14","2946","01:07:00","03:27:00","02:20:00"
"121","2024-12-30","3","1","5","8","10172","07:08:00","09:41:00","02:33:00"
"122","2024-12-31","6","5","5","15","8278","07:07:00","09:35:00","02:28:00"
"123","2025-01-02","2","1","5","5","5066","07:38:00","10:07:00","02:29:00"
"124","2025-01-04","2","4","5","5","6414","02:12:00","04:30:00","02:18:00"
"125","2025-01-07","4","5","5","14","1569","07:07:00","09:25:00","02:18:00"
"126","2025-01-08","2","1","5","5","4248","07:37:00","09:58:00","02:21:00"
"127","2025-01-11","5","1","5","2","8295","02:12:00","04:40:00","02:28:00"
"128","2025-01-12","4","6","5","14","3258","00:07:00","02:40:00","02:33:00"
"129","2025-01-14","5","6","5","2","6526","07:07:00","09:29:00","02:22:00"
"130","2025-01-15","4","2","5","14","1780","07:07:00","09:48:00","02:41:00"
"131","2025-01-17","3","2","5","8","10172","07:07:00","09:36:00","02:29:00"
"132","2025-01-21","2","5","5","5","4165","07:08:00","09:24:00","02:16:00"
"133","2025-01-22","1","6","5","3","3951","07:08:00","09:28:00","02:20:00"
"134","2025-01-26","2","1","5","5","7838","03:15:00","05:16:00","02:01:00"
"135","2025-01-27","5","4","5","2","5629","07:07:00","09:41:00","02:34:00"
"136","2025-01-28","2","6","5","5","4540","07:07:00","09:46:00","02:39:00"
"137","2025-01-29","3","5","5","8","6150","07:07:00","09:38:00","02:31:00"
"138","2025-01-30","3","6","5","8","7242","07:33:00","10:17:00","02:44:00"
"139","2025-01-31","1","4","5","3","5912","07:08:00","10:00:00","02:52:00"
"140","2025-02-01","6","5","5","15","8351","02:10:00","04:42:00","02:32:00"
"141","2025-02-02","4","3","5","14","4346","01:09:00","03:36:00","02:27:00"
"142","2025-02-11","6","2","5","15","8183","07:07:00","09:33:00","02:26:00"
"143","2025-02-12","4","1","5","14","1729","07:07:00","09:32:00","02:25:00"
"144","2025-02-13","5","2","5","2","5854","07:07:00","09:26:00","02:19:00"
"145","2025-02-14","6","1","5","15","8124","07:07:00","09:26:00","02:19:00"
"146","2025-02-15","3","4","5","8","10172","02:13:00","04:41:00","02:28:00"
"147","2025-02-16","1","2","5","3","6032","01:10:00","03:35:00","02:25:00"
"148","2025-02-17","4","1","5","14","3715","04:10:00","06:38:00","02:28:00"
"149","2025-02-18","3","2","5","8","6696","07:08:00","09:31:00","02:23:00"
"150","2025-02-19","4","6","5","14","1569","07:07:00","09:28:00","02:21:00"
"151","2025-02-20","5","1","5","2","5458","07:07:00","09:35:00","02:28:00"
"152","2025-02-22","5","3","5","2","8424","02:05:00","04:30:00","02:25:00"
"153","2025-02-23","2","6","5","5","8770","01:37:00","03:59:00","02:22:00"
"154","2025-02-25","3","6","5","8","6101","07:08:00","09:32:00","02:24:00"
"155","2025-02-26","5","4","5","2","5005","07:05:00","09:51:00","02:46:00"
"156","2025-03-04","3","2","5","8","8923","07:08:00","09:39:00","02:31:00"
"157","2025-03-05","1","4","5","3","3252","07:10:00","09:30:00","02:20:00"
"158","2025-03-06","6","3","5","15","8618","07:07:00","09:36:00","02:29:00"
"159","2025-03-09","6","2","5","15","8510","00:07:00","02:29:00","02:22:00"
"160","2025-03-11","5","2","5","2","5851","06:08:00","08:35:00","02:27:00"
"161","2025-03-12","4","3","5","14","1944","06:10:00","08:58:00","02:48:00"
"162","2025-03-15","5","1","5","2","8096","01:12:00","03:38:00","02:26:00"
"163","2025-03-18","1","3","5","3","3375","06:07:00","08:51:00","02:44:00"
"164","2025-03-19","6","4","5","15","8351","06:08:00","08:47:00","02:39:00"
"165","2025-03-22","4","5","5","14","4767","23:04:00","01:29:00","02:25:00"
"166","2025-03-23","3","6","5","8","10172","23:08:00","01:29:00","02:21:00"
"167","2025-03-25","5","4","5","2","5707","06:07:00","08:49:00","02:42:00"
"168","2025-03-26","2","3","5","5","6330","07:07:00","09:29:00","02:22:00"
"169","2025-03-30","2","6","5","5","9536","00:07:00","02:21:00","02:14:00"
"170","2025-04-01","3","4","5","8","8798","06:08:00","08:39:00","02:31:00"
"171","2025-04-02","1","5","5","3","3807","06:09:00","08:27:00","02:18:00"
"172","2024-12-06","5","3","5","0","0","00:00:00","00:00:00","00:00:00"
"173","2025-01-05","1","3","5","24","12608","04:08:00","06:50:00","02:42:00"
"174","2025-01-08","6","3","5","19","19038","10:15:00","12:33:00","02:18:00"
"175","2025-01-12","2","3","5","20","14018","03:12:00","05:36:00","02:24:00"
"176","2025-01-19","3","5","5","21","18259","01:10:00","03:35:00","02:25:00"
"177","2025-01-25","6","4","5","9","19102","02:13:00","04:37:00","02:24:00"
